"","FCD","FDV","FFG","FGN","FJQ","FLM","FMT","FNO","FOL","FQS","FSH","FTU","FUF","FVX","FXC"
"FCD",1,0.0064163106213927,0.00418703873010825,0.0019811190738699,0.00547691270643748,0.00295054070373827,0.0058424543323178,0.00374810448914194,0.00153841323663307,0.00392461524036594,0.00274716343184109,0.00205353735438966,0.00415917470349988,0.00296977814010365,0.00444153601960402
"FDV",0.0064163106213927,1,0.00540308056235047,0.00460311325064127,0.00408945468234006,0.00594357786645087,0.00905351890288159,0.0041803956860639,0.00340233850872149,0.0149567078776569,0.00368710834807626,0.00491724189118979,0.00262171593153998,0.00480854589572113,0.00837501948502841
"FFG",0.00418703873010825,0.00540308056235047,1,0.00456244754711223,0.0030985579787868,0.00375379108039576,0.00329874784554098,0.00367504835589942,0.00406001517237504,0.00941967012828345,0.00536325157998492,0.00229786011776533,0.00498028636646607,0.00624244335804027,0.00561953481339616
"FGN",0.0019811190738699,0.00460311325064127,0.00456244754711223,1,0.000946340481224202,0.00605577689243028,0.00456007433350011,0.00557810177530604,0.00436461306026523,0.0101799757545616,0.00386145338119724,0.00475841060191671,0.00156857546836338,0.00403706605798385,0.0106282705496148
"FJQ",0.00547691270643748,0.00408945468234006,0.0030985579787868,0.000946340481224202,1,0.00223297357647934,0.0014510548052238,0.00277859023106171,0.000976580160954878,0.000541654755277372,0.00252344544461602,0.000449987143224479,0.00772408451310297,0.00960414230833473,0.00403569063908945
"FLM",0.00295054070373827,0.00594357786645087,0.00375379108039576,0.00605577689243028,0.00223297357647934,1,0.0184213357560398,0.00705046578647544,0.00482195303709981,0.0141751269035533,0.0058703689730627,0.0057560698090792,0.00104665071770335,0.00463806751720573,0.0074472810891322
"FMT",0.0058424543323178,0.00905351890288159,0.00329874784554098,0.00456007433350011,0.0014510548052238,0.0184213357560398,1,0.00330471684308083,0.00386146338883085,0.0215669478896542,0.00697258722556524,0.00412094064949608,0.00306579554417871,0.00658573256955403,0.00881268259974137
"FNO",0.00374810448914194,0.0041803956860639,0.00367504835589942,0.00557810177530604,0.00277859023106171,0.00705046578647544,0.00330471684308083,1,0.00512883135914031,0.00573413968312021,0.00520463685829193,0.00340386707372706,0.00369365426695842,0.00353636800860045,0.00430480161362375
"FOL",0.00153841323663307,0.00340233850872149,0.00406001517237504,0.00436461306026523,0.000976580160954878,0.00482195303709981,0.00386146338883085,0.00512883135914031,1,0.00436532199581953,0.00402513081675154,0.00404986269977676,0.000255107046841579,0.00173729602283303,0.00481481481481482
"FQS",0.00392461524036594,0.0149567078776569,0.00941967012828345,0.0101799757545616,0.000541654755277372,0.0141751269035533,0.0215669478896542,0.00573413968312021,0.00436532199581953,1,0.00825485579752796,0.00905272070077176,0.0026469543884567,0.00313936391453512,0.00599969428309386
"FSH",0.00274716343184109,0.00368710834807626,0.00536325157998492,0.00386145338119724,0.00252344544461602,0.0058703689730627,0.00697258722556524,0.00520463685829193,0.00402513081675154,0.00825485579752796,1,0.00317153036637354,0.00172219374679651,0.00495503466915491,0.00455559971871465
"FTU",0.00205353735438966,0.00491724189118979,0.00229786011776533,0.00475841060191671,0.000449987143224479,0.0057560698090792,0.00412094064949608,0.00340386707372706,0.00404986269977676,0.00905272070077176,0.00317153036637354,1,0.00255899914700028,0.00400380630913694,0.00613903816066934
"FUF",0.00415917470349988,0.00262171593153998,0.00498028636646607,0.00156857546836338,0.00772408451310297,0.00104665071770335,0.00306579554417871,0.00369365426695842,0.000255107046841579,0.0026469543884567,0.00172219374679651,0.00255899914700028,1,0.00510908341250919,0.00255231398532842
"FVX",0.00296977814010365,0.00480854589572113,0.00624244335804027,0.00403706605798385,0.00960414230833473,0.00463806751720573,0.00658573256955403,0.00353636800860045,0.00173729602283303,0.00313936391453512,0.00495503466915491,0.00400380630913694,0.00510908341250919,1,0.00821270065120909
"FXC",0.00444153601960402,0.00837501948502841,0.00561953481339616,0.0106282705496148,0.00403569063908945,0.0074472810891322,0.00881268259974137,0.00430480161362375,0.00481481481481482,0.00599969428309386,0.00455559971871465,0.00613903816066934,0.00255231398532842,0.00821270065120909,1
